date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:29:12	5242/5242	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22f49004cb0c83879dfac69b295cd3310f%22	https://site22650311.nicepage.io/robots.txt		(from )
07:29:12	42975/42975	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2003:29:13%20GMT	https://site22650311.nicepage.io/	C:/Users/Morgan/Documents/Chloe%20Site/site22650311.nicepage.io/index.html	(from )
07:29:15	1550769/1550769	---MCZ	200	added ('OK')	text/css	etag:W/%2215789a56a299dd4bb405153acacaf065%22	http://capp.nicepage.com/8adec74e48a019c11f32b5f5e604a2edc66b868e/nicepage.css	C:/Users/Morgan/Documents/Chloe%20Site/capp.nicepage.com/8adec74e48a019c11f32b5f5e604a2edc66b868e/nicepage.css	(from https://site22650311.nicepage.io/)
07:29:15	898452/898452	---M-Z	200	added ('OK')	text/css	etag:W/%22f110d992d4b1acf32794cacbc182fa94%22	https://site22650311.nicepage.io/nicepage-site.css	C:/Users/Morgan/Documents/Chloe%20Site/site22650311.nicepage.io/nicepage-site.css	(from https://site22650311.nicepage.io/)
07:29:15	24234/24234	---M-Z	200	added ('OK')	text/css	etag:W/%228363a5737216030858b74659594a19e5%22	https://site22650311.nicepage.io/index.css	C:/Users/Morgan/Documents/Chloe%20Site/site22650311.nicepage.io/index.css	(from https://site22650311.nicepage.io/)
07:29:19	417625/417625	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22f0684bbfa31c81272533eb82a7358142%22	http://capp.nicepage.com/8adec74e48a019c11f32b5f5e604a2edc66b868e/nicepage.js	C:/Users/Morgan/Documents/Chloe%20Site/capp.nicepage.com/8adec74e48a019c11f32b5f5e604a2edc66b868e/nicepage.js	(from https://site22650311.nicepage.io/)
07:29:19	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	http://capp.nicepage.com/assets/jquery-3.5.1.min.js	C:/Users/Morgan/Documents/Chloe%20Site/capp.nicepage.com/assets/jquery-3.5.1.min.js	(from https://site22650311.nicepage.io/)
07:29:19	90414/90414	---M--	200	added ('OK')	image/png	etag:%224c9deda903add6e08f2ea9770d0d263d%22	https://assets.nicepagecdn.com/c9b1c2dd/6508467/images/Logo.PNG	C:/Users/Morgan/Documents/Chloe%20Site/assets.nicepagecdn.com/c9b1c2dd/6508467/images/Logo.png	(from https://site22650311.nicepage.io/)
07:29:20	945/945	---MC-	200	added ('OK')	text/javascript	date:Sun,%2018%20May%202025%2003:29:21%20GMT	https://www.google.com/recaptcha/api.js?render=6Lc2HDEiAAAAALpe1yqNarK-BmlyYl_MNPZx7_AB	C:/Users/Morgan/Documents/Chloe%20Site/www.google.com/recaptcha/api2fdf.js	(from https://site22650311.nicepage.io/)
07:29:20	22790/22790	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2003:29:21%20GMT	https://site22650311.nicepage.io/About-Us.html	C:/Users/Morgan/Documents/Chloe%20Site/site22650311.nicepage.io/About-Us.html	(from https://site22650311.nicepage.io/)
07:29:20	33059/33059	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2003:29:21%20GMT	https://site22650311.nicepage.io/Contact.html	C:/Users/Morgan/Documents/Chloe%20Site/site22650311.nicepage.io/Contact.html	(from https://site22650311.nicepage.io/)
